id,lon,lat,grid_id_50km,host_grid_id_50km,sector,tech,allocated_capacity_mw
r621_c1304,87.29681998092134,47.876971962436784,R14_C27,R13_C27,power,pv,20.16261596885494
r621_c1305,87.30992898651584,47.87857244080089,R14_C27,R13_C27,power,pv,9.77459459301965
r621_c1306,87.32303861558763,47.880171756889496,R14_C27,R13_C27,power,pv,9.773369725393083
r621_c1307,87.33614886772402,47.88176991059756,R14_C27,R13_C27,power,pv,9.772145689874511
r621_c1308,87.34925974251213,47.883366901819954,R14_C27,R13_C27,power,pv,9.7709224866653
r621_c1309,87.36237123953902,47.88496273045193,R14_C27,R13_C27,power,pv,9.769700115966346
r621_c1310,87.37548335839158,47.88655739638849,R14_C27,R13_C27,power,pv,9.768478577978769
r621_c1311,87.3885960986566,47.88815089952481,R14_C27,R13_C27,power,pv,9.767257872903294
r621_c1312,87.40170945992075,47.889743239756136,R14_C27,R13_C27,power,pv,9.76603800094084
r621_c1313,87.41482344177052,47.8913344169779,R14_C27,R13_C27,power,pv,9.764818962291963
r621_c1314,87.42793804379235,47.89292443108524,R14_C27,R13_C27,power,pv,9.763600757157391
r621_c1315,87.44105326557249,47.89451328197372,R14_C27,R13_C27,power,pv,9.62090056841784
r621_c1316,87.45416910669712,47.8961009695388,R14_C27,R13_C27,power,pv,9.61969375377097
r621_c1317,87.46728556675222,47.89768749367597,R14_C27,R13_C27,power,pv,9.618487768555186
r621_c1318,87.48040264532375,47.89927285428088,R14_C27,R13_C27,power,pv,9.758736275769593
r621_c1319,87.49352034199744,47.90085705124912,R14_C27,R13_C27,power,pv,9.757522241211552
r621_c1320,87.50663865635896,47.902440084476446,R14_C27,R13_C27,power,pv,9.756309041369178
r621_c1321,87.51975758799382,47.90402195385857,R14_C27,R13_C27,power,pv,9.75509667644246
r621_c1322,87.53287713648744,47.90560265929145,R14_C27,R13_C27,power,pv,9.7538851466311
r621_c1330,87.63785568155794,47.918206388097936,R14_C27,R13_C27,power,pv,10.049172274806097
r621_c1331,87.65098076310265,47.9197766133091,R14_C27,R13_C27,power,pv,9.74301899144226
r621_c1332,87.6641064573532,47.92134567353249,R14_C27,R13_C27,power,pv,9.74181582375286
r621_c1333,87.67723276389366,47.92291356866466,R14_C27,R13_C27,power,pv,9.740613493370224
r621_c1334,87.6903596823079,47.92448029860223,R14_C27,R13_C27,power,pv,5.843647200295768
r621_c1335,87.70348721217972,47.926045863241605,R14_C27,R13_C27,power,pv,9.738211345319668
r621_c1336,87.71661535309278,47.9276102624796,R14_C27,R13_C27,power,pv,9.5957318994884
r621_c1337,87.72974410463057,47.92917349621285,R14_C27,R13_C27,power,pv,9.594542543614436
r621_c1338,87.74287346637654,47.93073556433827,R14_C27,R13_C27,power,pv,9.593354021236111
r621_c1339,87.75600343791395,47.93229646675264,R14_C27,R13_C27,power,pv,9.592166332545972
r621_c1340,87.76913401882595,47.933856203352775,R14_C27,R13_C27,power,pv,9.590979477736472
r621_c1341,87.78226520869558,47.93541477403584,R14_C27,R13_C27,power,pv,9.455441802296503
r621_c1342,87.79539700710575,47.9369721786987,R14_C27,R13_C27,power,pv,9.588608270528171
r621_c1343,87.80852941363923,47.93852841723846,R14_C27,R13_C27,power,pv,9.587423918513789
r621_c1344,87.8216624278787,47.94008348955237,R14_C27,R13_C27,power,pv,9.58624040114852
r621_c1345,87.8347960494067,47.941637395537576,R14_C27,R13_C27,power,pv,9.585057718624352
r621_c1346,87.84793027780565,47.94319013509136,R14_C27,R13_C27,power,pv,9.449570108056603
r621_c1347,87.86106511265778,47.94474170811098,R14_C27,R13_C27,power,pv,5.669038956117298
r621_c1348,87.87420055354534,47.94629211449395,R14_C27,R13_C27,power,pv,9.58151468201585
r621_c1349,87.8873366000503,47.94784135413765,R14_C27,R13_C27,power,pv,9.580335340773065
r622_c1304,87.29918223161202,47.86808862047474,R14_C27,R13_C27,power,pv,19.86312227953625
r622_c1305,87.31228956268349,47.86968882780612,R14_C27,R13_C27,power,pv,19.5627944469338
